Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
Dwight Howard,2017-18,32,CHO,30.4,81,12.5,1.3,0.6,1.6,2.6,16.6,0.555,0.143,0.577,20.5,24.2,6.8,-0.1,1.2,"$23,500,000 ","$26,065,424 "
Deandre Ayton,2018-19,20,PHO,30.7,71,10.3,1.8,0.9,0.9,1.8,16.3,0.585,0,0.608,20.5,21.2,5.8,0.2,1.2,"$8,175,840 ","$8,815,238 "
LaMarcus Aldridge,2012-13,27,POR,37.7,74,9.1,2.6,0.8,1.2,1.9,21.1,0.484,0.143,0.53,20.4,26.5,7.2,1.3,2.3,"$13,000,000 ","$15,391,662 "
Deron Williams,2012-13,28,BRK,36.4,78,3,7.7,1,0.4,2.8,18.9,0.44,0.378,0.574,20.3,24.4,10.9,3.8,4.2,"$17,177,795 ","$20,338,063 "
Dwyane Wade,2015-16,34,MIA,30.5,74,4.1,4.6,1.1,0.6,2.7,19,0.456,0.159,0.517,20.3,31.6,4.9,1.9,2.2,"$20,000,000 ","$22,770,556 "
DeMarcus Cousins,2012-13,22,SAC,30.5,75,9.9,2.7,1.4,0.7,3,17.1,0.465,0.182,0.524,20.2,28.1,4.4,0.2,1.2,"$3,880,800 ","$4,594,766 "
Paul George,2016-17,26,IND,35.9,75,6.6,3.3,1.6,0.4,2.9,23.7,0.461,0.393,0.587,20.2,28.9,7.1,3.1,3.4,"$18,100,000 ","$20,403,860 "
Kyle Lowry,2013-14,27,TOR,36.2,79,4.7,7.4,1.5,0.2,2.5,17.9,0.423,0.38,0.567,20.1,22.9,11.7,4.7,4.8,"$6,210,000 ","$7,225,709 "
Paul George,2013-14,23,IND,36.2,80,6.8,3.5,1.9,0.3,2.8,21.7,0.424,0.364,0.555,20.1,28.3,10.8,4.9,5,"$3,282,003 ","$3,818,808 "
Tyson Chandler,2014-15,32,DAL,30.5,75,11.5,1.1,0.6,1.2,1.4,10.3,0.666,,0.697,20.1,12.8,10.3,2.6,2.7,"$14,596,888 ","$16,639,532 "
